Address,Company DUNS#,Corporate Name,Employees On Site,Latitude,Longitude,NAICS1,NAICS1Name,NAICS2,NAICS2Name,Point of Contact,Public/Private,SIC1,SIC1Name,SIC2,SIC2Name,Sales Volume,Telephone,Title,Total Employees,Tradestyle Name,Year Started
"87 E Commerce St, Bridgeton NJ 08302",00-699-2309,Whibco  Inc,15,39.4290625,-75.2336844,212322,Industrial Sand Mining ,212321,Construction Sand and Gravel Mining ,Restricted,Private,14460000,Industrial sand,14420102,Construction sand mining,"$16,503,409",Restricted,Restricted,70,Penn Rillton Div The,1841
"2810 Yonkers Rd Ste 2a, Raleigh NC 27604",09-667-2049,Pure Energy Coal LLC,36,35.8027747,-78.5959796,423520,Coal and Other Mineral and Ore Merchant Wholesalers ,,,Restricted,Private,50520201,Coal,,,"$12,000,000,000",Restricted,Restricted,44,,2017
"51 University St Ste 400, Seattle WA 98101",92-697-4403,Lighthouse Document Tech Inc,150,47.6059663,-122.3394824,541199,All Other Legal Services ,541512,Computer Systems Design Services ,Restricted,Private,73891300,Legal and tax services,73790200,Computer related consulting services,"$33,685,059",Restricted,Restricted,362,Lighthouse Ediscovery,2007
"2280 E West Maple Rd, Commerce Township MI 48390",00-640-1970,Williams International Co LLC,277,42.5394736,-83.4552397,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,336412,Aircraft Engine and Engine Parts Manufacturing ,Restricted,Private,37649901,"Engines and engine parts, guided missile",37249915,"Turbines, aircraft type","$239,069,276",Restricted,Restricted,800,Willc,1955
"1000 Main St, Lake Charles LA 70615",96-556-1921,Third Circuit Court of Appeal,40,30.2246444,-93.163965,922110,Courts ,,,Restricted,Private,92119903,State courts,,,$0,Restricted,Restricted,68,,1960
"8300 Douglas Ave Ste 600, Dallas TX 75225",83-106-9161,Bbg  Inc,24,32.864099,-96.8082982,531320,Offices of Real Estate Appraisers ,,,Restricted,Private,65319901,"Appraiser, real estate",,,"$21,029,635",Restricted,Restricted,225,Bbg Advisory Services,1995
"2101 W Jackson St, Phoenix AZ 85009",05-690-3867,J D Steel Co  Inc,115,33.4446359,-112.104598,238190,"Other Foundation, Structure, and Building Exterior Contractors ",332312,Fabricated Structural Metal Manufacturing ,Restricted,Private,17919902,"Concrete reinforcement, placing of",34490000,Miscellaneous metalwork,"$60,420,967",Restricted,Restricted,500,,1970
"2450 N Meridian St, Indianapolis IN 46208",06-280-7391,Indianapolis-Marion Co Public,150,39.8007869,-86.1584839,519120,Libraries and Archives ,,,Restricted,Private,82310304,Public library,,,"$53,715,303",Restricted,Restricted,640,INDIANAPOLIS PUBLIC LIBRARY,1873
"400 Logue Ave, Mountain View CA 94043",96-362-9899,Quotient Technology Inc,673,37.3976835,-122.0505401,541870,Advertising Material Distribution Services,,,Restricted,Public,73190202,Coupon distribution,,,"$322,115,000",Restricted,Restricted,673,Quotient,1998
"15 SW 29th St, Oklahoma City OK 73109",06-227-0715,Crosslands A A Rentl & Sls Co,2,35.4355236,-97.5130065,532310,General Rental Centers,,,Restricted,Private,73599911,Tool rental,,,"$13,465,634",Restricted,Restricted,50,,1972
"16952 Leonard Rd, Houston TX 77049",08-062-5276,Seah Steel USA LLC,70,29.8522725,-95.1199081,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,,,Restricted,Private,35470206,Pipe and tube mills,,,"$50,000,000",Restricted,Restricted,130,,2016
"1725 Mount Read Blvd, Rochester NY 14606",05-159-0735,Flower City Printing  Inc,197,43.1858574,-77.6595354,322212,Folding Paperboard Box Manufacturing ,323111,Commercial Printing (except Screen and Books) ,Restricted,Private,26570000,Folding paperboard boxes,27520101,Offset printing,"$149,108,403",Restricted,Restricted,300,,1970
"101 S Hanley Rd Ste 450, Saint Louis MO 63105",07-869-3230,Ascension Health Alliance,146,38.6478365,-90.3350576,524114,Direct Health and Medical Insurance Carriers ,,,Restricted,Private,63249903,"Health Maintenance Organization (HMO), insurance only",,,"$22,633,225,000",Restricted,Restricted,"111,719",Ascension Healthcare,2011
"1712 S Glendale Ave, Glendale CA 91205",02-824-5025,Forest Lawn Memorial-Park Assn,300,34.1246267,-118.2514289,453110,Florists ,812220,Cemeteries and Crematories ,Restricted,Private,59929901,"Flowers, fresh",65539903,Cemetery association,"$129,466,891",Restricted,Restricted,950,Forest Lawn Mem Parks Mortuary,1906
"410 N Fairview St, Santa Ana CA 92703",07-815-6551,Goodwill Inds Orange Cnty Cal,370,33.7477078,-117.905849,453310,Used Merchandise Stores ,,,Restricted,Private,59320000,Used merchandise stores,,,"$126,702,708",Restricted,Restricted,"1,200",,1926
"7477 Dry Creek Pkwy, Niwot CO 80503",06-398-8120,Crocs  Inc,20,40.0916545,-105.1853305,316210,Footwear Manufacturing ,424340,Footwear Merchant Wholesalers ,Restricted,Public,30210205,"Shoes, rubber or rubber soled fabric uppers",51390000,Footwear,"$1,023,513,000",Restricted,Restricted,"5,068",,2002
"61 Industrial Blvd, Plattsburgh NY 12901",05-937-2664,Swarovski Lighting  Ltd,267,44.689312,-73.515519,335121,Residential Electric Lighting Fixture Manufacturing ,,,Restricted,Private,36450000,Residential lighting fixtures,,,"$59,477,586",Restricted,Restricted,400,Schonbek,1967
"9304 N Berridge Rd, Six Lakes MI 48886",15-527-7932,Main Farm,30,43.3949036,-85.2184144,111150,Corn Farming ,111140,Wheat Farming,Restricted,Private,01150000,Corn,01110000,Wheat,"$4,400,000",Restricted,Restricted,36,,1979
"1777 3rd St, Detroit MI 48226",08-491-8791,MGM Grand Detroit LLC,153,42.3335648,-83.0591612,721120,Casino Hotels,722511,Full-Service Restaurants ,Restricted,Public,70110301,Casino hotel,58120000,Eating places,"$500,000,000",Restricted,Restricted,"3,000",,1999
"3530 W T C Jester Blvd, Houston TX 77018",13-756-7400,Bono Care  LLC,112,29.8191485,-95.4467416,541410,Interior Design Services,,,Restricted,Private,73890600,Interior design services,,,"$48,270,419",Restricted,Restricted,210,Corporate Care,2007
"2600 16th St NW, Washington DC 20441",02-030-2154,Inter-American Defense Board,10,38.9234556,-77.0370497,928120,International Affairs ,,,Restricted,Private,97210000,International affairs,,,$0,Restricted,Restricted,98,,1942
"5601 Great Oaks Pkwy, San Jose CA 95119",83-106-9245,Western Digital Tech Inc,"4,300",37.2455392,-121.7933375,334112,Computer Storage Device Manufacturing ,,,Restricted,Public,35720101,"Disk drives, computer",,,"$4,434,272,349",Restricted,Restricted,"15,050",WD,1986
"208 Gunther Ln, Belle Chasse LA 70037",79-140-8388,Powco of Louisiana  LLC,502,29.8356139,-90.0518847,333995,Fluid Power Cylinder and Actuator Manufacturing ,,,Restricted,Private,35930000,Fluid power cylinders and actuators,,,"$60,222,187",Restricted,Restricted,502,Power Well Service,1988
"777 W Cherokee St, Catoosa OK 74015",14-218-2901,Cherokee Nation Businesses LLC,280,36.1658866,-95.7647212,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,423840,Industrial Supplies Merchant Wholesalers,Restricted,Private,37280000,"Aircraft parts and equipment, nec",50850401,"Fasteners, industrial: nuts, bolts, screws, etc.","$1,020,997,552",Restricted,Restricted,"3,117",CNB,2004
"5 Old Lancaster Rd, Malvern PA 19355",78-861-7640,Cubesmart,192,40.042862,-75.520497,493110,General Warehousing and Storage ,531110,Lessors of Residential Buildings and Dwellings ,Restricted,Private,42250000,General warehousing and storage,67980000,Real estate investment trusts,"$510,039,000",Restricted,Restricted,"2,136",Cubessmart Self Stor Logistics,2004
"125 Holmes St FL 2, Frankfort KY 40601",92-735-0215,Justice and Pub Safety Cab KY,35,38.2006067,-84.8710442,922190,"Other Justice, Public Order, and Safety Activities ",,,Restricted,Private,92290402,"Public order and safety, State government",,,$0,Restricted,Restricted,"4,400",,1792
"3100 W 7th St Ste 500, Fort Worth TX 76107",00-801-2148,Azz Inc,75,32.7513994,-97.3621417,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,335313,Switchgear and Switchboard Apparatus Manufacturing ,Restricted,Public,36990000,"Electrical equipment and supplies, nec",36130000,Switchgear and switchboard apparatus,"$810,430,000",Restricted,Restricted,"3,650",AZZ,1956
"330 W 34th St, New York NY 10001",00-699-2457,Foot Locker Specialty  Inc,100,40.7525899,-73.9951693,448150,Clothing Accessories Stores ,454110,Electronic Shopping and Mail-Order Houses ,Restricted,Public,56329901,Apparel accessories,59610000,Catalog and mail-order houses,"$159,928,602",Restricted,Restricted,"3,100",Champs Sports,1879
"5565 Tesla Rd, Livermore CA 94550",00-919-2881,Wente Bros,100,37.6642501,-121.7253465,312130,Wineries ,541611,Administrative Management and General Management Consulting Services ,Restricted,Private,20840100,Wines,87420407,Restaurant and food services consultants,"$130,845,043",Restricted,Restricted,800,Wente Vineyards,1883
"1150 Foster Ave FL 2, Nashville TN 37243",87-829-7415,Tennessee Safety Department,300,36.1353742,-86.7403016,922190,"Other Justice, Public Order, and Safety Activities ",,,Restricted,Private,92299903,"Public safety bureau, government",,,$0,Restricted,Restricted,"1,900",Highway Partol,1919
"1221 Brickell Ave # 2300, Miami FL 33131",18-951-8389,Boats Group,638,,,541870,Advertising Material Distribution Services,,,Restricted,Private,73190200,Distribution of advertising material or sample services,,,"$33,701,521",Restricted,Restricted,638,,2003
"201 Brookfield Pkwy, Greenville SC 29607",78-319-7184,Bwt LLC,25,34.8095372,-82.2833637,332811,Metal Heat Treating ,,,Restricted,Private,33980000,Metal heat treating,,,"$137,504,325",Restricted,Restricted,450,,2006
"75 Eastern Point Rd, Groton CT 06340",96-373-7366,Electric Boat Corporation,"7,900",41.3444131,-72.0794375,336611,Ship Building and Repairing ,541330,Engineering Services,Restricted,Public,37310206,"Submarines, building and repairing",87110000,Engineering services,"$2,467,676,012",Restricted,Restricted,"10,500",General Dynamics Electric Boat,1899
"N5183 17th Dr, Wild Rose WI 54984",08-668-9924,Harry Erickson,22,44.1677525,-89.2777961,112930,Fur-Bearing Animal and Rabbit Production,,,Restricted,Private,02719903,Mink farm,,,"$1,171,915",Restricted,Restricted,22,A&W Restaurant,1955
"1801 Market St Ste 2700, Philadelphia PA 19103",60-254-9680,Gamesa Wind Pa  LLC,19,39.9536012,-75.1703161,221115,Wind Electric Power Generation ,,,Restricted,Private,36219909,"Windmills, electric generating",,,"$25,040,768",Restricted,Restricted,140,,2005
"203 E Daugherty St, Webb City MO 64870",00-715-3505,Cardinal Scale Mfg Co,450,37.1478011,-94.4605053,333997,Scale and Balance Manufacturing ,,,Restricted,Private,35969908,Weighing machines and apparatus,,,"$134,448,794",Restricted,Restricted,600,Detecto Scale,1950
"1290 W Pioneer Pkwy, Grand Prairie TX 75051",10-767-4244,Canine Incorporated,20,32.7108097,-97.0236768,812910,Pet Care (except Veterinary) Services ,,,Restricted,Private,07520303,"Training services, pet and animal specialties (not horses)",,,"$14,637,066",Restricted,Restricted,150,Mans Best Friend,1981
"1930 S State St, Salt Lake City UT 84115",00-194-7688,O C Tanner Company,500,40.7282176,-111.8883235,339910,Jewelry and Silverware Manufacturing ,323111,Commercial Printing (except Screen and Books) ,Restricted,Private,39110107,"Pins (jewelry), precious metal",27590000,"Commercial printing, nec","$341,960,928",Restricted,Restricted,"1,700",CARROT CULTURE,1927
"41310 Bridge St, Novi MI 48375",00-538-2460,Michigan Milk Producers Assn,40,42.483342,-83.455033,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",Restricted,Private,51430101,"Milk and cream, fluid",20230303,Dried milk,"$854,071,450",Restricted,Restricted,200,,1916
"318 Old Highway 49 S, Richland MS 39218",00-785-1207,Irby Construction Company,100,32.2592708,-90.1731653,237130,Power and Communication Line and Related Structures Construction ,238210,Electrical Contractors and Other Wiring Installation Contractors,Restricted,Public,16239901,Electric power line construction,17310302,Fiber optic cable installation,"$323,709,318",Restricted,Restricted,700,,1946
"3 Columbus Cir FL 8, New York NY 10019",00-699-2515,Young & Rubicam Inc,"1,900",40.7669467,-73.9821805,541613,Marketing Consulting Services ,,,Restricted,Private,87420300,Marketing consulting services,,,"$1,015,568,958",Restricted,Restricted,"13,130",Young & Rubicam Group,1923
"2200 Halethorpe Farms Rd, Baltimore MD 21227",09-656-4919,Maryland Food Bank  Inc,75,39.2243372,-76.6854709,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) ",,,Restricted,Private,86999907,Food co-operative,,,"$70,735,529",Restricted,Restricted,75,,1978
"312 Rosa L Parks Ave # 25, Nashville TN 37243",87-829-7456,Tenn Dept Tourist Development,28,,,926110,Administration of General Economic Programs ,,,Restricted,Private,96110000,Administration of general economic programs,,,$0,Restricted,Restricted,156,,1936
"1 Zeiss Dr, Thornwood NY 10594",00-699-2523,Carl Zeiss  Inc,120,41.1103178,-73.7700331,333314,Optical Instrument and Lens Manufacturing ,423490,Other Professional Equipment and Supplies Merchant Wholesalers ,Restricted,Private,38270100,Optical instruments and apparatus,50490104,Optical goods,"$290,956,900",Restricted,Restricted,500,,1925
"1011 Centre Rd Ste 327, Wilmington DE 19805",05-014-1865,Sonepar USA Holdings  Inc,3,39.7586891,-75.606677,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",,,Restricted,Private,50630206,"Electrical supplies, nec",,,"$3,965,090,423",Restricted,Restricted,"6,480",,1998
"55 Water St, New York NY 10041",08-057-1799,Creative Drive  Inc,16,40.7033226,-74.0088962,541922,Commercial Photography ,,,Restricted,Private,73350000,Commercial photography,,,"$84,478,000",Restricted,Restricted,528,,2015
"70 Butler St, Salem NH 03079",78-808-1073,Neuro-Rehab Associates  Inc,300,42.7647804,-71.1851433,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists ",621111,Offices of Physicians (except Mental Health Specialists) ,Restricted,Private,80490200,Physical therapist,80110000,Offices and clinics of medical doctors,"$85,408,248",Restricted,Restricted,500,Northeast Rehabilitation Hosp,1983
"1015 W Jackson St, Muncie IN 47305",01-654-5519,Townsend Corporation,30,40.1924458,-85.3973435,561730,Landscaping Services,,,Restricted,Private,07830105,Tree trimming services for public utility lines,,,"$414,624,506",Restricted,Restricted,"2,000",Kelly Electric,1945
"1980 Post Oak Blvd, Houston TX 77056",05-363-0323,Stewart Information Svcs Corp,591,29.7462316,-95.4618162,524127,Direct Title Insurance Carriers ,541611,Administrative Management and General Management Consulting Services ,Restricted,Public,63619902,Real estate title insurance,87420406,Real estate consultant,"$1,955,724,000",Restricted,Restricted,"6,350",STEWART,1893
"1770 Birchwood Ave, Des Plaines IL 60018",12-103-7717,Gepco International  Inc,45,42.0155569,-87.8819409,335921,Fiber Optic Cable Manufacturing ,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,Restricted,Public,33570100,Communication wire,50650000,"Electronic parts and equipment, nec","$4,427,379",Restricted,Restricted,60,,1981
"3111 Camino Del Rio N # 103, San Diego CA 92108",02-921-1260,Encore Capital Group  Inc,80,,,522298,All Other Nondepository Credit Intermediation ,,,Restricted,Public,61530000,"Short-term business credit institutions, except agricultural",,,"$1,187,038,000",Restricted,Restricted,"6,700",ENCORE,1990
"510 Maryville University, Saint Louis MO 63141",86-117-7327,Rawlings Sporting Goods Co Inc,170,38.6420092,-90.5045495,339920,Sporting and Athletic Goods Manufacturing,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,Restricted,Public,39490000,"Sporting and athletic goods, nec",50910000,Sporting and recreation goods,"$809,778,824",Restricted,Restricted,"1,600",Rawlings Group,1887
"1703 N Randall Rd, Elgin IL 60123",02-529-3481,John B Sanfilippo & Son  Inc,160,42.074119,-88.3306114,311911,Roasted Nuts and Peanut Butter Manufacturing ,311340,Nonchocolate Confectionery Manufacturing,Restricted,Public,20689901,"Nuts: dried, dehydrated, salted or roasted",20640000,Candy and other confectionery products,"$846,635,000",Restricted,Restricted,"1,300",Fischer Nut Company,1979
"W6250 W Pioneer Rd, Fond Du Lac WI 54935",79-881-4765,Mercury Marine  Inc,277,43.7564054,-88.4691509,336612,Boat Building ,,,Restricted,Public,30890500,Plastics boats and other marine equipment,,,"$1,290,874,380",Restricted,Restricted,"4,100",Mercury Marine International,1939
"190 Rittenhouse Cir, Bristol PA 19007",14-840-8578,Action Manufacturing Company,267,40.1151914,-74.8868972,332993,Ammunition (except Small Arms) Manufacturing ,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",Restricted,Private,34830000,"Ammunition, except for small arms, nec",34890000,"Ordnance and accessories, nec","$84,732,570",Restricted,Restricted,267,,1946
"1431 Opus Pl Ste 530, Downers Grove IL 60515",11-411-4531,Roadrunner Trnsp Systems Inc,95,41.8281441,-88.0230859,488510,Freight Transportation Arrangement ,,,Restricted,Public,47310100,Transportation agents and brokers,,,"$2,091,291,000",Restricted,Restricted,"4,600",Roadrunner Trnsp Systems,2005
"121 4th Ave S, Twin Falls ID 83301",62-664-6848,Glanbia  Inc,5,42.553618,-114.4721477,311513,Cheese Manufacturing ,,,Restricted,Private,20229902,Natural cheese,,,"$1,149,320,074",Restricted,Restricted,700,,1966
"295 Madison Ave FL 29, New York NY 10017",02-024-8668,Ratp Dev Usa  LLC,10,40.7518554,-73.9794676,485410,School and Employee Bus Transportation,,,Restricted,Private,41510000,School buses,,,"$132,491,144",Restricted,Restricted,"4,774",,2010
"1316 S 7th St, Saint Louis MO 63104",04-187-6996,Clean Uniform Company,93,38.6132387,-90.196849,812332,Industrial Launderers ,,,Restricted,Private,72180203,Industrial uniform supply,,,"$35,214,355",Restricted,Restricted,372,Clean Uniform Company-Highland,1938
"3300 N Sam Houston Pkwy E, Houston TX 77032",06-205-6288,Hydril USA Distribution LLC,444,29.9370542,-95.3363158,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,,,Restricted,Public,35330000,Oil and gas field machinery,,,"$488,990,346",Restricted,Restricted,"1,700",Hydril Pressure Control,2008
"2730 Highway 145, Saltillo MS 38866",07-939-1174,Syntron Material Handling  LLC,161,34.3514985,-88.7007217,333131,Mining Machinery and Equipment Manufacturing ,,,Restricted,Private,35320000,Mining machinery,,,"$144,303,116",Restricted,Restricted,350,,2014
"7135 S Tucson Way, Centennial CO 80112",00-779-7657,Interstate Highway Cnstr Inc,250,39.5870085,-104.8362503,237310,"Highway, Street, and Bridge Construction ",,,Restricted,Private,16110202,"Concrete construction: roads, highways, sidewalks, etc.",,,"$1,300,000,000",Restricted,Restricted,400,I H C,1956
"105 2nd St NW, Red Bay AL 35582",06-114-3954,Tiffin Motor Homes  Inc,277,34.4434758,-88.1445215,336213,Motor Home Manufacturing ,,,Restricted,Private,37160000,Motor homes,,,"$187,378,111",Restricted,Restricted,545,,1972
"11 Forbes Rd, Woburn MA 01801",11-524-1606,Bmh Corp,90,42.4943152,-71.1194184,423510,Metal Service Centers and Other Metal Merchant Wholesalers ,,,Restricted,Private,50510000,Metals service centers and offices,,,"$1,350,000,000",Restricted,Restricted,155,,1983
"616 E Walnut Ave, Dalton GA 30721",01-563-3241,Shaw Contract Flrg Svcs Inc,35,34.7604989,-84.9590766,238330,Flooring Contractors,,,Restricted,Public,17529903,Carpet laying,,,"$306,049,003",Restricted,Restricted,"1,100",Spectra Contract Flooring,1996
"21333 Haggerty Rd Ste 300, Novi MI 48375",93-395-1618,Learning Care Group  Inc,425,42.4454578,-83.434756,624410,Child Day Care Services ,611699,All Other Miscellaneous Schools and Instruction ,Restricted,Private,83510000,Child day care services,82990200,Educational services,"$665,978,149",Restricted,Restricted,"17,000",,1967
"1700 SW 7th St, Topeka KS 66606",08-094-7576,Topeka Health System  LLC,4,39.0565558,-95.69591,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals ,,,Restricted,Private,80690000,"Specialty hospitals, except psychiatric",,,"$840,000,000",Restricted,Restricted,"1,300",University of KS St Francis,2017
"900 Cir 75 Pkwy SE # 900, Atlanta GA 30339",79-382-3683,Extremity Healthcare  Inc,30,,,621391,Offices of Podiatrists ,621511,Medical Laboratories ,Restricted,Private,80430000,Offices and clinics of podiatrists,80710104,Pathological laboratory,"$13,726,034",Restricted,Restricted,150,Village Podiatry,1992
"977 Centerville Tpke, Virginia Beach VA 23463",00-377-2563,Christian Brdcstg Netwrk Inc,700,36.8008999,-76.1910277,813110,Religious Organizations ,515120,Television Broadcasting,Restricted,Private,86610000,Religious organizations,48330000,Television broadcasting stations,"$276,866,621",Restricted,Restricted,941,700 Club,1960
"2509 Main St, Springfield OR 97477",13-912-4031,S Butler-Rosboro Corporation,13,44.0454684,-122.9888948,335110,Electric Lamp Bulb and Part Manufacturing,,,Restricted,Private,36410105,Glow lamp bulbs,,,"$34,720,780",Restricted,Restricted,500,,1984
"4801 Mark IV Pkwy, Fort Worth TX 76106",55-741-4815,Legacy Housing Corporation,133,32.8298081,-97.3237946,321991,Manufactured Home (Mobile Home) Manufacturing ,,,Restricted,Private,24510100,"Mobile homes, personal or private use",,,"$108,999,398",Restricted,Restricted,500,,2005
"1600 Royal St, Jasper IN 47549",79-731-2147,Kimball Office Inc,500,38.4021132,-86.9206992,337214,Office Furniture (except Wood) Manufacturing ,,,Restricted,Public,25220400,"Office desks and tables, except wood",,,"$328,995,203",Restricted,Restricted,"2,500",,1986
"8875 Washington Blvd B, Roseville CA 95678",19-381-2059,Teleplan Holding Usa  Inc,25,38.7914437,-121.3026341,811212,Computer and Office Machine Repair and Maintenance ,,,Restricted,Private,73789902,Computer peripheral equipment repair and maintenance,,,"$79,953,851",Restricted,Restricted,600,,2000
"20 Channel Ctr St, Boston MA 02210",86-101-6442,Cengage Learning  Inc,60,42.3460016,-71.0515045,511130,Book Publishers ,,,Restricted,Private,27310204,Textbooks: publishing and printing,,,"$1,585,042,865",Restricted,Restricted,"4,810",Course Technology,1994
"425 Market St FL 30, San Francisco CA 94105",09-039-3260,Morrison & Foerster LLP,400,37.7911913,-122.3983658,541110,Offices of Lawyers,,,Restricted,Private,81119901,"General practice attorney, lawyer",,,"$900,000,000",Restricted,Restricted,"2,000",Mofo,2000
"2235 Entp Dr Ste 3504, Westchester IL 60154",04-617-0577,Material Service Corporation,200,41.845718,-87.8893383,212312,Crushed and Broken Limestone Mining and Quarrying ,212321,Construction Sand and Gravel Mining ,Restricted,Private,14220000,Crushed and broken limestone,14420102,Construction sand mining,"$201,183,473",Restricted,Restricted,600,Hanson Material Service,1992
"1 Market Plz Ste 900, San Francisco CA 94105",60-566-2659,Cai International  Inc,87,37.7940057,-122.3949618,532289,All Other Consumer Goods Rental ,,,Restricted,Public,73599907,Shipping container leasing,,,"$348,393,000",Restricted,Restricted,128,,1989
"1 Commerce Dr, Schaumburg IL 60173",02-964-0740,Convergint Technologies LLC,125,42.0576217,-88.0785935,561621,Security Systems Services (except Locksmiths) ,,,Restricted,Private,73829901,Burglar alarm maintenance and monitoring,,,"$469,164,000",Restricted,Restricted,"2,380",,2001
"1722 Kettering, Irvine CA 92614",60-448-1960,South Coast Baking  LLC,255,33.6968497,-117.8468487,311821,Cookie and Cracker Manufacturing ,424490,Other Grocery and Related Products Merchant Wholesalers ,Restricted,Private,20529905,Cookies,51490702,Cookies,"$110,315,418",Restricted,Restricted,255,South Coast Baking Co,2015
"7575 Fulton St E, Ada MI 49355",15-661-9959,Amway International  Inc,27,42.9579966,-85.4882275,424690,Other Chemical and Allied Products Merchant Wholesalers ,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,Restricted,Private,51690300,"Detergents and soaps, except specialty cleaning",51220200,Toiletries,"$4,847,231,698",Restricted,Restricted,"10,000",Amway,1978
"O-215 Lake Michigan Dr NW, Grand Rapids MI 49534",05-094-7068,H S Die & Engineering  Inc,250,42.9741914,-85.7913297,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",,,Restricted,Private,35440100,Special dies and tools,,,"$75,280,120",Restricted,Restricted,250,,1969
"744 41st St N, Birmingham AL 35222",00-339-6959,ONeal Steel  LLC,200,33.5355168,-86.7755161,423510,Metal Service Centers and Other Metal Merchant Wholesalers ,,,Restricted,Private,50510216,Steel,,,"$1,016,473,854",Restricted,Restricted,"1,500",ONeal Steel Inc,1987
"3900 W Avera Dr, Sioux Falls SD 57108",09-468-6748,Avera McKennan,12,43.4930472,-96.7742442,561499,All Other Business Support Services ,,,Restricted,Private,73899907,Contractors' disbursement control,,,"$866,774,254",Restricted,Restricted,12,Center For Rural Health,1925
